Temperature (deg C),Chlorinity (ppt),Salinity (%),Conductance 1/(ohm.cm)
0,1,0.1,0.001839
0,2,0.2,0.003556
0,3,0.3,0.005187
0,4,0.4,0.006758
0,5,0.5,0.008327
0,6,0.6,0.009878
0,7,0.7,0.011404
0,8,0.8,0.012905
0,9,0.9,0.014388
0,10,1,0.015852
0,11,1.1,0.017304
0,12,1.2,0.018741
0,13,1.3,0.020167
0,14,1.4,0.021585
0,15,1.5,0.022993
0,16,1.6,0.024393
0,17,1.7,0.025783
0,18,1.8,0.027162
0,19,1.9,0.02853
0,20,2,0.029885
0,21,2.1,0.031227
0,22,2.2,0.032556
5,1,0.1,0.002134
5,2,0.2,0.004125
5,3,0.3,0.006016
5,4,0.4,0.007845
5,5,0.5,0.009653
5,6,0.6,0.011444
5,7,0.7,0.013203
5,8,0.8,0.014934
5,9,0.9,0.016641
5,10,1,0.018329
5,11,1.1,0.02
5,12,1.2,0.021655
5,13,1.3,0.023297
5,14,1.4,0.024929
5,15,1.5,0.026548
5,16,1.6,0.028156
5,17,1.7,0.029753
5,18,1.8,0.031336
5,19,1.9,0.032903
5,20,2,0.034454
5,21,2.1,0.035989
5,22,2.2,0.037508
10,1,0.1,0.002439
10,2,0.2,0.004714
10,3,0.3,0.006872
10,4,0.4,0.008958
10,5,0.5,0.011019
10,6,0.6,0.013063
10,7,0.7,0.015069
10,8,0.8,0.017042
10,9,0.9,0.018986
10,10,1,0.020906
10,11,1.1,0.022804
10,12,1.2,0.024684
10,13,1.3,0.026548
10,14,1.4,0.028397
10,15,1.5,0.030231
10,16,1.6,0.03205
10,17,1.7,0.033855
10,18,1.8,0.035644
10,19,1.9,0.037415
10,20,2,0.039167
10,21,2.1,0.0409
10,22,2.2,0.042614
15,1,0.1,0.002763
15,2,0.2,0.005338
15,3,0.3,0.007778
15,4,0.4,0.010133
15,5,0.5,0.012459
15,6,0.6,0.014758
15,7,0.7,0.017015
15,8,0.8,0.019235
15,9,0.9,0.021423
15,10,1,0.023584
15,11,1.1,0.025722
15,12,1.2,0.027841
15,13,1.3,0.02994
15,14,1.4,0.032024
15,15,1.5,0.03409
15,16,1.6,0.036138
15,17,1.7,0.038168
15,18,1.8,0.040176
15,19,1.9,0.042158
15,20,2,0.044114
15,21,2.1,0.046044
15,22,2.2,0.047948
20,1,0.1,0.003091
20,2,0.2,0.005971
20,3,0.3,0.008702
20,4,0.4,0.011337
20,5,0.5,0.013939
20,6,0.6,0.016512
20,7,0.7,0.019035
20,8,0.8,0.021514
20,9,0.9,0.023957
20,10,1,0.026367
20,11,1.1,0.028749
20,12,1.2,0.031109
20,13,1.3,0.033447
20,14,1.4,0.035765
20,15,1.5,0.038065
20,16,1.6,0.040345
20,17,1.7,0.042606
20,18,1.8,0.044844
20,19,1.9,0.047058
20,20,2,0.049248
20,21,2.1,0.051414
20,22,2.2,0.053556
30,1,0.1,0.003431
30,2,0.2,0.006628
30,3,0.3,0.009658
30,4,0.4,0.012583
30,5,0.5,0.015471
30,6,0.6,0.018324
30,7,0.7,0.021121
30,8,0.8,0.023868
30,9,0.9,0.026573
30,10,1,0.029242
30,11,1.1,0.031879
30,12,1.2,0.034489
30,13,1.3,0.037075
30,14,1.4,0.039638
30,15,1.5,0.04218
30,16,1.6,0.044701
30,17,1.7,0.047201
30,18,1.8,0.049677
30,19,1.9,0.052127
30,20,2,0.054551
30,21,2.1,0.056949
30,22,2.2,0.059321
