structure_area,,coated,uncoated,,,,
,,10778,0,,,,
breakdown_factor,,resistivity,fcm,fcf,,,
,,0.2547,1.075,1.137,,,
current_density,,initial,coated,uncoated,,,
,,,13.5,200,,,
,,mean,deterioration,disbondment,,,
,,,14.425,20.45,,,
,,final,deterioration,disbondment,,,
,,,15.35,27.4,,,
current_demand,,initial,mean,final,,,
,,145.503,155.473,165.442,,,
anode_capacity,,anode_length,width,height,gross_weight,volume,utilisation_factor
,,0.65,0.125,0.13,30,0.01056,0.825
anodes_required,,mass,mean,mean_of_mean_current,initial,final,
,,,3301.687,113.851,106.55,121.151,
,,count,total_mass_kg,total_mass_MT,,,
,,,3415.59,3.42,,,
anode_initial_check,,delta_E,resistance,individual_anode_current,total-anode_current,updated_anode_count,updated_anode_weight
,,0.29,0.329,0.882,100.463,164.893,4.9
anode-final_check,,updated-anode-count,updated-anode_weight,total_current_output,individual_anode_output,resistance,
,,201.426,6.043,93.512,0.821,0.353,
